internal_id,Award ID,Start Date,Award Amount,Recipient Name,Description,Contract Award Type,def_codes,Awarding Agency,Awarding Sub Agency,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
110826799,15B40921D00000002,2020-10-01,117358.8,"PRAIRIE FARMS DAIRY, INC.",FY21 USP MARION DAIRY,INDEFINITE DELIVERY / DEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15B40921D00000002_1540
110826798,15B40921D00000001,2020-10-01,42806.4,"CALIFORNIA EGG EXCHANGE, INC.",FY21 USP MARION EGGS,INDEFINITE DELIVERY / DEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15B40921D00000001_1540
110802881,47PK0220D0015,2020-10-01,670958.36,ALL NATIVE FEDERAL SYSTEMS COMPANY,CUSTODIAL SERVICES FOR THE US CUSTOMS HOUSE AND US APPRAISERS BUILDING IN SAN FRANCISCO CA. AWARD WAS ACCOMPLISHED WITH SOLE SOURCE APPROVAL FROM THE SBA USING THE 8A NATIVE AMERICAN SOLE SOURCE. SBA REQUIREMENT ID - YF1592230212B,INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PK0220D0015_4740
110802879,47PH0220D0022,2020-10-01,1017727.27,TRESCO INC,"SOURCEAMERICA CUSTODIAL AND RELATED SERVICES 5 YEAR CONTRACT. BASE AND 4 FOLLOW-ON YEARS - LAS CRUCES AND ROSWELL, NM",INDEFINITE DELIVERY / DEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PH0220D0022_4740
110802876,47PB0020D0007,2020-10-01,797951.82,NORTHERN NEW ENGLAND EMPLOYMENT SERVICES,"JANITORIAL SERVICES FOR THE BURLINGTON, VT FEDERAL BUILDINGS",INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PB0020D0007_4740
110754566,68HERC20D0031,2020-10-01,5580734.0,SKINNER DEVELOPMENT INC,"IDIQ CONSTRUCTION CONTRACT FOR U.S. EPA ENVIRONMENTAL RESEARCH LABORATORY, ATHENS, GA",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,700,environmental-protection-agency,CONT_IDV_68HERC20D0031_6800
110754533,47PK0220D0017,2020-10-01,351348.84,O & M INTEGRATED FACILITY SERVICES LLC,47PK0220D0017 - NEW CUSTODIAL CONTRACT ARIZONA AIRPORTS 2020-2025,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PK0220D0017_4740
110754526,47PC0220D0006,2020-10-01,2000.0,"BURGOS GROUP, LLC",R2 GC&DB CONSTRUCTION SERVICES,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PC0220D0006_4740
110754433,15B10620D00000001,2020-10-01,54600.0,DIOCESE OF RALEIGH,CATHOLIC PRIEST SERVICES FOR FCC BUTNER BASE PLUS FOUR OPTION YEARS 10-01-2020 / 09-30-2025  ** LARGE BUSINESS **,INDEFINITE DELIVERY / REQUIREMENTS,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15B10620D00000001_1540
110754426,12010920D0019,2020-10-01,5000.0,"CORVUS DESIGN, INC.",ALASKA REGION LANDSCAPE ARCHITECT SERVICES - MULTIPLE AWARD INDEFINITE DELIVERY/INDEFINITE QUANTITY,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_12010920D0019_12C2
110728921,68HERC20D0029,2020-10-01,150000.0,"PEGASUS TECHNICAL SERVICES, INC.","OFFICE OF RESEARCH AND DEVELOPMENT RISK MANAGEMENT AND ECOLOGICAL EXPOSURE RESEARCH SUPPORT SERVICES II (RMEERS II)  RESEARCH, TECHNICAL, AND ANALYTICAL SERVICES ENCOMPASSING ALL FORMS OF CHEMICAL AND BIOLOGICAL CONTAMINATION WITHIN ECOSYSTEMS, DRI",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,700,environmental-protection-agency,CONT_IDV_68HERC20D0029_6800
110708428,68HERC20D0032,2020-10-01,35000.0,MICHIGAN STATE UNIVERSITY,NEXT GENERATION SEQUENCING (NGS) SERVICES FOR SEQUENCING-BASED GENE EXPRESSION STUDIES,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,700,environmental-protection-agency,CONT_IDV_68HERC20D0032_6800
110708424,47PH0220D0017,2020-10-01,1246422.12,SCHINDLER ELEVATOR CORPORATION,MULTI-REGIONAL ELEVATOR MAINTENANCE CONTRACT REG 4 6 7 8. EXERCISING OPTION 1 YEAR 5 MOD PS38 NEW CONTACT NUMBER 47PH0220D0017 DUE TO EASI-PEGASYS INTERFACE UPDATES.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PH0220D0017_4740
110210776,47PD0820D0001,2020-10-01,15301.91,"I-TEN ASSOCIATES, INC.",SDM IMV CLARKSBURG COURTHOUSE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PD0820D0001_4740
110190660,47PF0020D0033,2020-10-01,787691.49,"CHALLENGE UNLIMITED, INC.","EO14042: 47PF0020D0033 MODIFICATION PS0003 INCORPORATES THE COVID-19 SAFETY PROTOCOLS INTO THE JANITORIAL AND RELATED SERVICES CONTRACT AT THE JOHN F. SEIBERLING FEDERAL BUILDING AND USCH IN AKRON, OH. THE END DATE REMAINS 6/30/2022.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PF0020D0033_4740
110173599,80KSC020D0023,2020-10-01,50316039.85,"HSG, LLC",NASA AGENCY AND CAPE CANAVERAL AIR FORCE STATION ENVIRONMENTAL AND MEDICAL CONTRACT (NEMCON). ACTIVE PERIOD OF PERFORMANCE: 10/01/2020 - 09/30/2022,INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['C', 'N', 'Q']",National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_IDV_80KSC020D0023_8000
110027636,47PD0320D0024,2020-10-01,4751515.62,"DIDLAKE, INC.","CONTRACT 47PD0320D0024 FOR CUSTODIAL AND RELATED SERVICES AT 17TH STREET AND PENNSYLVANIA AVENUE NW IN WASHINGTON, D.C.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PD0320D0024_4740
110027594,140G0120D0021,2020-10-01,79276.8,"CHEROKEE NATION SYSTEM SOLUTIONS, LLC",SCIENCE&TECH SUPPORT IDIQ - SE REGION,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of the Interior,U.S. Geological Survey,Department of the Interior,U.S. Geological Survey,209,department-of-the-interior,CONT_IDV_140G0120D0021_1434
108825021,15BFTD20D00000045,2020-10-01,331872.0,"LINCOLN TECHNICAL INSTITUTE, INC.",PROVISION OF VOCATIONAL PROGRAM - WELDING IN ACCORDANCE WITH THE  STATEMENT OF WORK.,INDEFINITE DELIVERY / REQUIREMENTS,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BFTD20D00000045_1540
108426115,15B20320A00000003,2020-10-01,46116.0,"CANON FINANCIAL SERVICES, INC.",COPIER FOR EMPLOYEE DEVELOPMENT DEPARTMENT- SIPE CENTER.,BPA,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15B20320A00000003_1540
108401963,47PL0220D0007,2020-10-01,737397.0,"MCKINSTRY ESSENTION, LLC",THIS ACTION IS TO AWARD A NEW BASE YEAR + 4 OPTION YEARS. THIS RECURRING CONTRACT FOR CALL CENTER AND FACILITY SUPPORT SERVICES FOR GSA REGION 10. THE PRICING WAS ACCEPTED AT TIME OF CONTRACT AWARD.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PL0220D0007_4740
108401912,15B41820A00000146,2020-10-01,140119.2,GLOBAL EMPIRE LLC,"TO PROVIDE SERVICES OF (1) MEDICAL OFFICE ASSISTANT FOR THE INMATE POPULATION LOCATED AT FCC TERRE HAUTE, IN. * SOLICITATION SHALL BE CONDUCTED THROUGH GSA EBUY",BPA,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15B41820A00000146_1540
108292103,47PK0220D0009,2020-10-01,140666.04,"PUYENPA SERVICES, LLC",OPERATIONS&MAINTENANCE (HVAC MAINTENANCE) AT THE HONOLULU INTERNATIONAL AIRPORT.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PK0220D0009_4740
98593436,47PG0120D0003,2020-10-01,574600.44,"KLEANE KARE TEAM, INC., THE","JANITORIAL AND RELATED SERVICES CONTRACT AT THE SIOUX CITY FEDERAL BUILDING AND US COURTHOUSE, 320 6TH ST SIOUX CITY IA 51101",INDEFINITE DELIVERY / REQUIREMENTS,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PG0120D0003_4740
98472304,15BNAS20ARCA00017,2020-10-01,768401.57,UNIVERSITY OF TEXAS AT ARLINGTON,"OSHA TRAINING POP: OCTOBER 1, 2020 - SEPTEMBER 30, 2021 BASE WITH 4 OPTION YEARS",BPA,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BNAS20ARCA00017_1540
136945293,47QFRA20A0005,2020-09-30,4754392.69,"J & J MAINTENANCE, INC.",MIGRATED ID08200052001  03 FAC WHOLE MEDICAL TREATMENT FACILITIES OPERATIONS AND MAINTENANCE SUPPORT SERVICE HPW WPAFB,BPA,,General Services Administration,Federal Acquisition Service,Department of Defense,Department of the Air Force,614,general-services-administration,CONT_IDV_47QFRA20A0005_4732
111062320,47QFRA20A0001,2020-09-30,4890411.18,"HOSPITAL HOUSEKEEPING SYSTEMS, LLC",WHOLE MEDICAL TREATMENT FACILITIES OPERATIONS AND MAINTENANCE SUPPORT SERVICES,BPA,['Q'],General Services Administration,Federal Acquisition Service,Department of Defense,Department of the Air Force,614,general-services-administration,CONT_IDV_47QFRA20A0001_4732
110841812,47QFRA20A0003,2020-09-30,2601898.94,"J & J MAINTENANCE, INC.",WHOLE MEDICAL TREATMENT FACILITIES OPERATIONS AND MAINTENANCE SUPPORT SERVICES,BPA,['Q'],General Services Administration,Federal Acquisition Service,Department of Defense,Department of the Air Force,614,general-services-administration,CONT_IDV_47QFRA20A0003_4732
110841811,47QFRA20A0002,2020-09-30,4567026.64,"FACILITY SERVICES MANAGEMENT, INC.",WHOLE MEDICAL TREATMENT FACILITIES OPERATIONS AND MAINTENANCE SUPPORT SERVICES,BPA,,General Services Administration,Federal Acquisition Service,Department of Defense,Department of the Air Force,614,general-services-administration,CONT_IDV_47QFRA20A0002_4732
110826674,36C24720G0013,2020-09-30,1.0,"BIOHORIZONS IMPLANT SYSTEMS, INC",CONSIGNMENT AGREEMENT FOR DENTAL IMPLANTS,BOA,,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,561,department-of-veterans-affairs,CONT_IDV_36C24720G0013_3600
110803024,75N97020D00008,2020-09-30,27267790.33,"EBSCO INDUSTRIES, INC.",SUBSCRIPTION SERVICES TO THE NATIONAL LIBRARY OF MEDICINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,National Institutes of Health,Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,CONT_IDV_75N97020D00008_7529
110803007,70FA6020D00000003,2020-09-30,25000.0,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",HAZARD MITIGATION TECHNICAL ASSISTANCE PROGRAM (HMTAP) NON-A&E SUPPORT SERVICES SECTOR A,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,766,department-of-homeland-security,CONT_IDV_70FA6020D00000003_7022
110803006,70FA6020D00000002,2020-09-30,25000.0,CDM FEDERAL PROGRAMS CORPORATION,HAZARD MITIGATION TECHNICAL ASSISTANCE PROGRAM (HMTAP) NON-A&E SUPPORT SERVICES SECTOR B,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,766,department-of-homeland-security,CONT_IDV_70FA6020D00000002_7022
110803005,70FA6020D00000001,2020-09-30,25000.0,ALLIANCE FOR RESILIENCE AND MITIGATION,HAZARD MITIGATION TECHNICAL ASSISTANCE PROGRAM (HMTAP) NON-A&E SUPPORT SERVICES SECTOR C,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,766,department-of-homeland-security,CONT_IDV_70FA6020D00000001_7022
110802849,28321320D00060021,2020-09-30,62820.0,ZDEVCO LLC,"THE CONTRACTOR SHALL PERFORM PREVENTIVE MAINTENANCE FOR SECURITY EQUIPMENT AT THE FRANK HAGEL FEDERAL BUILDING IN RICHMOND, CA.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Social Security Administration,Social Security Administration,Social Security Administration,Social Security Administration,539,social-security-administration,CONT_IDV_28321320D00060021_2800
110802848,28321320D00060020,2020-09-30,77740.0,STERICYCLE INC,DOCUMENT DESTRUCTION SERVICES FOR SELECT SOCIAL SECURITY OFFICES IN THE MIDWEST.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Social Security Administration,Social Security Administration,Social Security Administration,Social Security Administration,539,social-security-administration,CONT_IDV_28321320D00060020_2800
110802846,2031JG20D00017,2020-09-30,4892540.0,"CONSOLIDATED ENGINEERING COMPANY, INC.","CONTRACT 2031JG20D00017-REPLACEMENT OF CIRCULATING ANNEALING FURNACES AT PHILADELPHIA AND DENVER.   THE MAXIMUM POTENTIAL VALUE OF THE CONTRACT FOR ALL ORDERING PERIODS SHALL NOT EXCEED $50,000,000.00.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of the Treasury,United States Mint,Department of the Treasury,United States Mint,456,department-of-the-treasury,CONT_IDV_2031JG20D00017_2044
110754197,47PE0320G0001,2020-09-30,232500.0,"VISION BUILDING ENERGY EFFICIENCY, LLC","BUILDING MODERNIZATION STUDY AT THE FEDERAL BUILDING 109 SAINT JOSEPH STREET, MOBILE, ALABAMA 36602-3605.",BOA,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PE0320G0001_4740
110728918,47PM0520D0013,2020-09-30,1095168.0,"PROFESSIONALS HIR, LLC",GENERATOR MAINTENANCE AGREEMENT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PM0520D0013_4740
110632680,19GH1020D0001,2020-09-30,243467.88,MISCELLANEOUS FOREIGN AWARDEES,ACCRA WASTE COLLECTION SERVICES FY20,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19GH1020D0001_1900
110900533,19GE5020D0033,2020-09-29,896695.36,US21 INC,LANGUAGE ASSISTANT SERVICES FOR US EMBASSY JERUSALEM,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19GE5020D0033_1900
110802819,1256A120D0016,2020-09-29,2500.0,M J ENGINEERING AND LAND SURVEYING PC,R9 ENGINEERING-ARCHITECT AND ENGINEER IDIQ.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_1256A120D0016_12C2
110802818,1256A120D0015,2020-09-29,2500.0,GM2 ASSOCIATES INC,R9 ENGINEERING-ARCHITECT AND ENGINEER IDIQ.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_1256A120D0015_12C2
110802817,1256A120D0014,2020-09-29,2500.0,"PICKERING, CORTS AND SUMMERSON, INC.",R9 ENGINEERING-ARCHITECT AND ENGINEER IDIQ.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_1256A120D0014_12C2
110802816,1256A120D0013,2020-09-29,2500.0,"KASKASKIA ENGINEERING GROUP, LLC",R9 ENGINEERING-ARCHITECT AND ENGINEER IDIQ.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_1256A120D0013_12C2
110802815,1256A120D0012,2020-09-29,2500.0,"U.P. ENGINEERS & ARCHITECTS, INC.",R9 ENGINEERING-ARCHITECT AND ENGINEER IDIQ.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_1256A120D0012_12C2
110754582,75F40120D00042,2020-09-29,10000.0,"BATSON, INC.",INDEFINITE DELIVERY/ INDEFINITE QUANTITY (IDIQ) CONTRACT TYPE FOR MECHANICAL/ELECTRICAL/PLUMBING (MEP) ENGINEERING SERVICES,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Food and Drug Administration,Department of Health and Human Services,Food and Drug Administration,806,department-of-health-and-human-services,CONT_IDV_75F40120D00042_7524
110754431,1256A120D0011,2020-09-29,2500.0,"CBS SQUARED, INC.",R9 ENGINEERING-ARCHITECT AND ENGINEER IDIQ 001,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_1256A120D0011_12C2
116078794,24322620D0006,2020-09-28,3785813.9,"CMI MANAGEMENT, LLC","FACILITY ENGINEERING, OPERATIONS AND MAINTENANCE, AND CONFERENCE SUPPORT SERVICES (23094)",INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Office of Personnel Management,Office of Personnel Management,Office of Personnel Management,Office of Personnel Management,503,office-of-personnel-management,CONT_IDV_24322620D0006_2400
110803020,75F40120D00037,2020-09-28,1257489.88,INSTITUTE FOR ENVIRONMENTAL HEALTH INC.,COLLECTION AND ANALYSIS OF PRODUCTS CONTAINING CBD AND CANNABINOIDS,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Food and Drug Administration,Department of Health and Human Services,Food and Drug Administration,806,department-of-health-and-human-services,CONT_IDV_75F40120D00037_7524
110754575,72MC1020D00002,2020-09-28,32614.4,"INTELLECTECHS, INC.",THIS ACTION IS TO APPROVE THE USAID OCONUS MOBILITY IDIQ TO PROVIDE A MECHANISM FOR USAID MISSIONS TO PROCURE MOBILE DEVICES.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Agency for International Development,Agency for International Development,Agency for International Development,Agency for International Development,801,agency-for-international-development,CONT_IDV_72MC1020D00002_7200
110754452,19AQMM20D0127,2020-09-28,20000.0,"SUSTAINABLE DESIGN CONSORTIUM, INC.",ENVIRONMENTALLY ENGINEERED REMEDIATION AND INSTALLATION SERVICES IDIQ,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM20D0127_1900
110754438,15BNAS20DV5F10008,2020-09-28,320751.0,BLINN COLLEGE,WOMEN'S COLLEGE PROGRAM,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BNAS20DV5F10008_1540
110754430,12010920D0023,2020-09-28,5000.0,BETTISWORTH NORTH ARCHITECTS AND PLANNERS INC.,ALASKA REGION LANDSCAPE ARCHITECT SERVICES - MULTIPLE AWARD INDEFINITE DELIVERY/INDEFINITE QUANTITY,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_12010920D0023_12C2
110754429,12010920D0022,2020-09-28,5000.0,"ANDERSON KRYGIER, INC.",ALASKA REGION LANDSCAPE ARCHITECT SERVICES - MULTIPLE AWARD INDEFINITE DELIVERY/INDEFINITE QUANTITY,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_12010920D0022_12C2
110754428,12010920D0021,2020-09-28,5000.0,"WALKER MACY, LLC",ALASKA REGION LANDSCAPE ARCHITECT SERVICES - MULTIPLE AWARD INDEFINITE DELIVERY/INDEFINITE QUANTITY,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Forest Service,Department of Agriculture,Forest Service,95,department-of-agriculture,CONT_IDV_12010920D0021_12C2
110728898,28321320D00060019,2020-09-28,2893875.43,KONIAG MANAGEMENT SOLUTIONS LLC,"ASSISTIVE TECHNOLOGY CONTRACT TO PROCURE INFORMATION TECHNOLOGY (IT) HARDWARE, SOFTWARE, MAINTENANCE, AND SUPPORT SERVICES FOR EMPLOYEES WITH DISABILITIES (EWD).",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Social Security Administration,Social Security Administration,Social Security Administration,Social Security Administration,539,social-security-administration,CONT_IDV_28321320D00060019_2800
110708434,75A50120D00018,2020-09-28,16016.0,TECHNICAL RESOURCES INTERNATIONAL INC,CLINICAL TRIALS PLANNING AND EXECUTION (TRI),INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,806,department-of-health-and-human-services,CONT_IDV_75A50120D00018_7505
110708433,75A50120D00017,2020-09-28,82010.0,"ICON GOVERNMENT AND PUBLIC HEALTH SOLUTIONS, INC.",CLINICAL TRIALS PLANNING AND EXECUTION (ICON),INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,806,department-of-health-and-human-services,CONT_IDV_75A50120D00017_7505
110210767,19GE5020D0020,2020-09-28,4494100.0,"LANGUAGE ON DEMAND, INC.",GERMAN LANGUAGE TRAINING SERVICES,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19GE5020D0020_1900
110754437,15BNAS20DV5F10007,2020-09-26,420457.8,"MINNESOTA STATE UNIVERSITY, MANKATO",WOMEN'S COLLEGE PROGRAM,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BNAS20DV5F10007_1540
110754436,15BNAS20DV5F10005,2020-09-26,101820.0,CHABOT-LAS POSITAS COMMUNITY COLLEGE DISTRICT,WOMEN'S COLLEGE PROGRAM,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BNAS20DV5F10005_1540
110728922,693JJ920D000022,2020-09-25,69790.0,"APPLUS IDIADA KARCO ENGINEERING, LLC",TITLE:  REQUEST TO PROCURE COMPLIANCE TESTING SERVICES FOR SCHOOL BUS TESTING TO FMVSS STANDARDS  DESCRIPTION:  ENFORCEMENT NEEDS TO PROCURE A NEW FIVE-YEAR COMPLIANCE TEST SERVICES CONTRACT.  THIS NEW CONTRACT WILL BE USED TO CONDUCT COMPLIANCE TE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Transportation,National Highway Traffic Safety Administration,Department of Transportation,National Highway Traffic Safety Administration,731,department-of-transportation,CONT_IDV_693JJ920D000022_6940
110728892,12305B20D0010,2020-09-25,76995.86,"SILLIKER, INC.","DSID ANALYSES (MULTIPLE VENDORS); TECH CONTACT: KAREN ANDREWS,",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Agricultural Research Service,Department of Agriculture,Agricultural Research Service,95,department-of-agriculture,CONT_IDV_12305B20D0010_12H2
110728891,12305B20D0009,2020-09-25,329991.0,"EUROFINS FOOD CHEMISTRY TESTING MADISON, INC.","DSID ANALYSES (MULTIPLE VENDORS); TECH CONTACT: KAREN ANDREWS, 301-332-7138; AWARD DOC. LINDA REYNOLDS, 301-504-8157",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Agriculture,Agricultural Research Service,Department of Agriculture,Agricultural Research Service,95,department-of-agriculture,CONT_IDV_12305B20D0009_12H2
110728841,19RP3820A0036,2020-09-25,29899.37,MISCELLANEOUS FOREIGN AWARDEES,DOMESTIC COURIER SERVICES,BPA,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19RP3820A0036_1900
110738923,693JJ920D000018,2020-09-24,500.0,TRANSPORTATION RESEARCH CENTER INC.,"NCAP DIVISION SEEKS TO SOLICIT FOR NEW COMPETITIVE CONTRACTS FOR FULL-SCALE VEHICLE SIDE BARRIER IMPACT TESTING AND SIDE AIR BAG OUT-OF-POSITION TESTING, TO BEGIN ON OCTOBER 1, 2019.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Transportation,National Highway Traffic Safety Administration,Department of Transportation,National Highway Traffic Safety Administration,731,department-of-transportation,CONT_IDV_693JJ920D000018_6940
